RaceName,Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TyreLife,TrackStatus,Position,LapStartTimeSec,TimeSec,AirTemp,TrackTemp,WindSpeed,Humidity,Year,PostRegulation,Time,LapTime,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,IsPersonalBest,Compound,Team,LapStartTime,LapStartDate,DeletedReason
Styrian Grand Prix,ALB,23,36.0,1.5070422535211268,289.43548387096774,232.90140845070422,271.9428571428571,284.28169014084506,18.253521126760564,1.943661971830986,4.225352112676056,4508.084408450704,4507.970197183099,20.99014084507042,40.267605633802816,2.5859154929577466,33.5225352112676,2020,0,0 days 00:34:16.271000,0 days 00:01:27.279000,0 days 01:15:32.099000,0 days 01:15:11.898000,0 days 00:00:24.352000,0 days 00:00:31.947000,0 days 00:00:33.998000,0 days 00:34:40.634000,0 days 00:33:42.286000,0 days 00:34:16.468000,False,SOFT,Red Bull Racing,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,GAS,10,35.014084507042256,1.943661971830986,291.5223880597015,224.53521126760563,269.63235294117646,291.3380281690141,12.112676056338028,2.0985915492957745,12.690140845070422,4473.656816901409,4475.150323943662,21.064788732394366,40.35633802816902,2.5802816901408447,33.54647887323944,2020,0,0 days 00:34:21.006000,0 days 00:01:32.014000,0 days 01:03:07.304000,0 days 01:02:45.357000,0 days 00:00:23.363000,0 days 00:00:32.537000,0 days 00:00:37.103000,0 days 00:34:44.369000,0 days 00:33:43.950000,0 days 00:34:21.181000,False,SOFT,AlphaTauri,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,GIO,99,35.5,1.5571428571428572,300.2844827586207,231.12857142857143,272.8623188405797,295.8,19.142857142857142,1.5571428571428572,13.135714285714286,4484.270142857143,4484.800364285714,23.904285714285713,46.120000000000005,1.5042857142857142,33.14928571428571,2020,0,0 days 00:34:29.392000,0 days 00:01:40.400000,0 days 01:20:38.694000,0 days 01:20:17.006000,0 days 00:00:25.540000,0 days 00:00:34.984000,0 days 00:00:42.088000,0 days 00:34:54.948000,0 days 00:33:47.337000,0 days 00:34:29.577000,False,MEDIUM,Alfa Romeo Racing,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,GRO,8,35.5,1.4714285714285715,299.9818181818182,228.82857142857142,271.6811594202899,295.12857142857143,18.057142857142857,1.957142857142857,14.2,4504.244742857142,4501.764542857142,20.992857142857144,40.244285714285716,2.6042857142857145,33.52,2020,0,0 days 00:34:32.852000,0 days 00:01:43.860000,0 days 00:32:59.071000,0 days 01:18:01.963000,0 days 00:00:25.693000,0 days 00:00:32.662000,0 days 00:00:43.243000,0 days 00:34:58.611000,0 days 00:33:49.685000,0 days 00:34:33.016000,False,SOFT,Haas F1 Team,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,HAM,44,36.0,1.6267605633802817,289.42622950819674,231.66197183098592,272.9280575539568,288.98591549295776,19.408450704225352,1.5492957746478873,1.5492957746478873,4457.965845070423,4459.62211971831,23.911267605633803,46.15070422535211,1.519718309859155,33.111267605633806,2020,0,0 days 00:34:07.176000,0 days 00:01:18.184000,0 days 01:05:48.786000,0 days 01:05:27.160000,0 days 00:00:26.692000,0 days 00:00:30.354000,0 days 00:00:27.743000,0 days 00:34:33.880000,0 days 00:33:39.482000,0 days 00:34:07.379000,False,SOFT,Mercedes,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 9
Styrian Grand Prix,KVY,26,35.5,1.4857142857142858,290.5762711864407,223.75714285714287,267.8550724637681,289.62857142857143,18.014285714285716,1.957142857142857,11.0,4499.1843285714285,4500.050214285715,20.99,40.24,2.5900000000000003,33.51571428571428,2020,0,0 days 00:34:27.755000,0 days 00:01:38.763000,0 days 01:17:06.754000,0 days 01:16:44.536000,0 days 00:00:26.422000,0 days 00:00:33.996000,0 days 00:00:41.822000,0 days 00:34:54.184000,0 days 00:33:45.961000,0 days 00:34:27.957000,False,MEDIUM,AlphaTauri,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 9
Styrian Grand Prix,LAT,6,34.75182481751825,2.072992700729927,290.5431034482759,228.44525547445255,270.82835820895525,291.48175182481754,18.087591240875913,1.5693430656934306,17.37226277372263,4474.629306569343,4473.324029197081,23.88905109489051,46.08686131386861,1.481021897810219,33.07664233576642,2020,0,0 days 00:34:31.182000,0 days 00:01:42.190000,0 days 01:12:46.108000,0 days 01:12:23.340000,0 days 00:00:25.733000,0 days 00:00:35.297000,0 days 00:00:43.118000,0 days 00:34:56.927000,0 days 00:33:48.076000,0 days 00:34:31.401000,False,MEDIUM,Williams,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 9
Styrian Grand Prix,LEC,16,33.71621621621622,2.418918918918919,297.05555555555554,225.75675675675674,272.3,297.64864864864865,16.72972972972973,2.054054054054054,12.202702702702704,4335.83722972973,4336.991148648649,26.48918918918919,51.398648648648646,0.5337837837837838,32.85,2020,0,0 days 00:34:22.564000,0 days 00:01:33.572000,0 days 00:34:59.005000,0 days 00:34:19.292000,0 days 00:00:55.473000,0 days 00:00:35.117000,0 days 00:00:35.585000,0 days 00:35:18.070000,0 days 00:33:47.021000,0 days 00:34:22.728000,False,SOFT,Ferrari,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,MAG,20,35.5,1.5571428571428572,300.7936507936508,228.55714285714285,271.39130434782606,296.3285714285714,18.228571428571428,1.957142857142857,14.028571428571428,4505.121885714286,4503.479057142857,20.99142857142857,40.23571428571429,2.5957142857142856,33.527142857142856,2020,0,0 days 00:34:26.586000,0 days 00:01:37.594000,0 days 01:11:22.674000,0 days 01:11:00.677000,0 days 00:00:25.611000,0 days 00:00:33.631000,0 days 00:00:41.206000,0 days 00:34:52.274000,0 days 00:33:45.486000,0 days 00:34:26.682000,False,SOFT,Haas F1 Team,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 9
Styrian Grand Prix,MAZ,9,34.5,1.6911764705882353,293.3103448275862,222.44117647058823,270.2238805970149,295.54411764705884,19.985294117647058,1.161764705882353,16.83823529411765,4433.619926470588,4433.297705882353,26.819117647058825,52.01764705882353,0.40588235294117647,32.74264705882353,2021,0,0 days 00:34:27.047000,0 days 00:01:21.215000,0 days 00:59:03.235000,0 days 00:58:40.475000,0 days 00:00:18.040000,0 days 00:00:34.503000,0 days 00:00:22.987000,0 days 00:34:45.122000,0 days 00:34:04.166000,0 days 00:34:27.249000,False,MEDIUM,Haas F1 Team,0 days 00:33:05.677000,2021-06-27 13:03:05.722,TRACK LIMITS AT TURN 9
